periodo,ipc,ventas_nominales_ed,ripte_nominal,emae_desest,tasa,icc
2021-01-01,401.5,"1,595.70","68,100.70",139.6,33.58,38.2
2021-02-01,415.9,"1,534.90","72,293.40",137.5,33.52,37.77
2021-03-01,435.9,"2,398.00","75,809.10",140.7,33.48,38.19
2021-04-01,453.7,"2,286.20","80,502.00",139.7,33.49,35.34
2021-05-01,468.7,"3,907.40","81,464.50",139.2,33.44,35.44
2021-06-01,483.6,"4,565.40","84,513.60",141.6,33.54,34.64
2021-07-01,498.1,"4,200.80","88,274.00",141.7,33.63,37.86
2021-08-01,510.4,"3,378.40","90,340.10",143.5,33.56,39.76
2021-09-01,528.5,"2,949.20","94,157.70",144,33.63,40.52
2021-10-01,547.1,"3,021.80","97,538.80",143.4,33.63,40.21
2021-11-01,560.9,"3,136.40","100,590.10",145.7,33.53,39.69
2021-12-01,582.5,"2,524.30","102,589.90",149.7,33.51,37.77
2022-01-01,605,"2,405.40","107,358.40",148.1,35.89,40.14
2022-02-01,633.4,"2,679.50","112,413.80",150.3,37.36,39.43
2022-03-01,676.1,"4,132.60","121,220.50",149.7,39.47,36.91
2022-04-01,716.9,"4,880.90","128,406.30",150.9,42.25,35.72
2022-05-01,753.1,"7,676.90","133,595.80",151,44.46,36.3
2022-06-01,793,"8,779.50","141,289.40",152.2,47.45,39.09
2022-07-01,851.8,"8,070.80","148,811.90",151.6,50.18,34.74
2022-08-01,911.1,"5,486.90","155,611.30",150.9,59.94,37.05
2022-09-01,967.3,"4,900.70","165,421.00",149.8,66.07,37.19
2022-10-01,1028.7,"5,288.10","174,436.90",147.6,68.51,35.65
2022-11-01,1079.3,"4,835.90","184,210.30",146.8,68.61,35.15
2022-12-01,1134.6,"4,280.80","194,175.10",147.2,68.83,35.91
2023-01-01,1203,"4,805.20","201,580.30",149.6,68.95,38.52
2023-02-01,1282.7,"4,825.90","218,543.90",149.5,69.17,36.18
2023-03-01,1381.2,"6,961.70","239,882.70",150.6,70.5,38.19
2023-04-01,1497.2,"11,290.30","263,481.20",147,74.03,37.08
2023-05-01,1613.6,"13,625.40","279,820.40",144.7,88.93,38.31
2023-06-01,1709.6,"16,652.90","302,562.70",145,91.7,41.79
2023-07-01,1818.1,"18,027.50","324,997.30",147.5,91.89,43.56
2023-08-01,2044.3,"14,251.80","344,057.40",149.3,103.54,44.06
2023-09-01,2304.9,"13,510.90","376,594.30",148.8,112.42,43.38
2023-10-01,2496.3,"18,407.00","420,706.60",147.3,121.45,45.11
2023-11-01,2816.1,"14,712.30","447,079.60",145.2,127.77,47.51
2023-12-01,3533.2,"12,639.80","484,298.40",142.7,119.6,39.81
2024-01-01,4261.5,"13,274.40","555,269.20",143.7,106.4,35.6
2024-02-01,4825.8,"12,653.80","619,007.10",143.6,105.99,36.04
2024-03-01,5357.1,"18,959.30","705,832.60",141.8,84.25,36.68
2024-04-01,5830.2,"27,882.20","819,501.70",139.7,63.75,37.17
2024-05-01,6073.7,"56,969.60","879,483.10",141,35.7,38.3
2024-06-01,6351.7,"41,232.00","933,179.90",141.1,32.72,37.23
2024-07-01,6607.7,"59,313.00","994,681.40",145.7,35.88,39.1
2024-08-01,6883.4,"41,830.90","1,032,410.50",147.1,38.15,41.46
2024-09-01,7122.2,"33,007.80","1,075,145.10",147,39.06,39
2024-10-01,7314,"33,380.90","1,146,474.20",147.4,40.1,42.42
2024-11-01,7491.4,"36,851.40","1,178,925.30",148.6,36.06,45.02
2024-12-01,7694,"30,516.30","1,202,927.90",150.1,32.91,46.03
2025-01-01,7864.1,,"1,234,658.40",151,31.35,47.38
2025-02-01,8053,,"1,310,357.80",152.2,28.25,47.26
2025-03-01,8353.3,,"1,363,510.30",,29.01,44.11
2025-04-01,8585.6,,,,33.37,44.1
