fecha,byma_cierre
2018-12-31,1307827.77
2019-01-01,1307827.77
2019-01-02,1332085.03
2019-01-03,1327708.2
2019-01-04,1374746.32
2019-01-07,1394802.51
2019-01-08,1397833.01
2019-01-09,1427508.34
2019-01-10,1439108.78
2019-01-11,1432266.93
2019-01-14,1430178.6
2019-01-15,1424251.41
2019-01-16,1452367.41
2019-01-17,1464798.64
2019-01-18,1487414.52
2019-01-21,1492508.97
2019-01-22,1454467.06
2019-01-23,1474654.85
2019-01-24,1482895.94
2019-01-25,1474078.28
2019-01-28,1467522.85
2019-01-29,1497436.04
2019-01-30,1515241.93
2019-01-31,1529197.77
2019-02-01,1540564.22
2019-02-04,1555077.73
2019-02-05,1563319.65
2019-02-06,1534631.87
2019-02-07,1507518.33
2019-02-08,1525019.6
2019-02-11,1537100.6
2019-02-12,1567250.57
2019-02-13,1548647.85
2019-02-14,1561965.05
2019-02-15,1563986.05
2019-02-18,1558053.45
2019-02-19,1519487.95
2019-02-20,1524693.47
2019-02-21,1505409.94
2019-02-22,1534071.95
2019-02-25,1519825.16
2019-02-26,1505203.22
2019-02-27,1488519.73
2019-02-28,1460833.26
2019-03-01,1446621.55
2019-03-04,1446621.55
2019-03-05,1446621.55
2019-03-06,1401367.46
2019-03-07,1444268.38
2019-03-08,1433095.04
2019-03-11,1470163.48
2019-03-12,1465160.22
2019-03-13,1479373.57
2019-03-14,1459392.56
2019-03-15,1474257.45
2019-03-18,1511804
2019-03-19,1491972.38
2019-03-20,1505123.35
2019-03-21,1480578.41
2019-03-22,1424838.47
2019-03-25,1441778.91
2019-03-26,1416349.1
2019-03-27,1397895.18
2019-03-28,1426174.14
2019-03-29,1449313.87
2019-04-01,1429804.19
2019-04-02,1429804.19
2019-04-03,1379014.79
2019-04-04,1393949.32
2019-04-05,1416322.9
2019-04-08,1430554.78
2019-04-09,1376186.89
2019-04-10,1395059.15
2019-04-11,1368527.01
2019-04-12,1365747.27
2019-04-15,1383503.76
2019-04-16,1404316.12
2019-04-17,1394378.27
2019-04-18,1394378.27
2019-04-19,1394378.27
2019-04-22,1340766.36
2019-04-23,1346117.65
2019-04-24,1293634.79
2019-04-25,1284503.4
2019-04-26,1307177.39
2019-04-29,1258863.66
2019-04-30,1288189.63
2019-05-01,1288189.63
2019-05-02,1339324.32
2019-05-03,1405237.18
2019-05-06,1426616.01
2019-05-07,1413024.26
2019-05-08,1456850.88
2019-05-09,1471865.99
2019-05-10,1442794.14
2019-05-13,1398835.65
2019-05-14,1405844.37
2019-05-15,1435964.98
2019-05-16,1462949.67
2019-05-17,1437756.68
2019-05-20,1444831.29
2019-05-21,1485812.78
2019-05-22,1488887.07
2019-05-23,1480974.93
2019-05-24,1513598.63
2019-05-27,1526395.52
2019-05-28,1491206.2
2019-05-29,1465458.03
2019-05-30,1480005.09
2019-05-31,1468508.54
2019-06-03,1458309.72
2019-06-04,1497250.3
2019-06-05,1520785.98
2019-06-06,1537842.14
2019-06-07,1534596.43
2019-06-10,1570831.47
2019-06-11,1648954.78
2019-06-12,1758002.5
2019-06-13,1744930.61
2019-06-14,1736819.75
2019-06-17,1736819.75
2019-06-18,1745075.01
2019-06-19,1711558.96
2019-06-20,1711558.96
2019-06-21,1730870.12
2019-06-24,1721042.65
2019-06-25,1727741.59
2019-06-26,1715724.34
2019-06-27,1759216.49
2019-06-28,1788908.96
2019-07-01,1781269.34
2019-07-02,1792595.18
2019-07-03,1772699.77
2019-07-04,1776349.47
2019-07-05,1792110.81
2019-07-08,1792110.81
2019-07-09,1792110.81
2019-07-10,1835854.98
2019-07-11,1838533.5
2019-07-12,1837863.6
2019-07-15,1776981.31
2019-07-16,1799346.34
2019-07-17,1786727.75
2019-07-18,1757957.92
2019-07-19,1734823.81
2019-07-22,1675860.47
2019-07-23,1693437.94
2019-07-24,1716369.41
2019-07-25,1721237.26
2019-07-26,1809967.23
2019-07-29,1845519.1
2019-07-30,1831575.79
2019-07-31,1815853.84
2019-08-01,1787908.39
2019-08-02,1786147.42
2019-08-05,1763911.68
2019-08-06,1782928.04
2019-08-07,1768045.43
2019-08-08,1770779.13
2019-08-09,1909644.01
2019-08-12,1203629.6
2019-08-13,1320000.39
2019-08-14,1299762.12
2019-08-15,1340700.28
2019-08-16,1315270.82
2019-08-19,1315270.82
2019-08-20,1177060.85
2019-08-21,1207808.14
2019-08-22,1208916.34
2019-08-23,1149719.08
2019-08-26,1118137.01
2019-08-27,1063576.77
2019-08-28,1097072.25
2019-08-29,1037847.69
2019-08-30,1061574.27
2019-09-02,1126079.13
2019-09-03,994760.18
2019-09-04,1061980.49
2019-09-05,1157667.21
2019-09-06,1191251.71
2019-09-09,1171433.17
2019-09-10,1222733.31
2019-09-11,1230422.17
2019-09-12,1250721.68
2019-09-13,1290524.61
2019-09-16,1306515.79
2019-09-17,1294261.29
2019-09-18,1287755.27
2019-09-19,1303735.48
2019-09-20,1287768.28
2019-09-23,1246847.51
2019-09-24,1191936.06
2019-09-25,1207562.32
2019-09-26,1206334.33
2019-09-27,1235828.22
2019-09-30,1240101.63
2019-10-01,1282112.94
2019-10-02,1312993.16
2019-10-03,1296912.11
2019-10-04,1356344.83
2019-10-07,1319680.29
2019-10-08,1293520.65
2019-10-09,1297516.76
2019-10-10,1353053.12
2019-10-11,1354825.11
2019-10-15,1336299.06
2019-10-16,1313874.44
2019-10-17,1368561.94
2019-10-18,1367431.94
2019-10-21,1392505.96
2019-10-22,1421211.65
2019-10-23,1401265.16
2019-10-24,1431062.41
2019-10-25,1476579.06
2019-10-28,1422600.01
2019-10-29,1393618.8
2019-10-30,1449206.07
2019-10-31,1495830.42
2019-11-01,1526820.49
2019-11-04,1588009.87
2019-11-05,1573767.39
2019-11-06,1517446.82
2019-11-07,1533399.41
2019-11-08,1469636.68
2019-11-11,1448046.42
2019-11-12,1437183.21
2019-11-13,1395287.04
2019-11-14,1347973.86
2019-11-15,1382332.31
2019-11-19,1396346.41
2019-11-20,1445576.73
2019-11-21,1437710.03
2019-11-22,1450887.73
2019-11-25,1447623.89
2019-11-26,1391870.6
2019-11-27,1464109.29
2019-11-28,1475129.66
2019-11-29,1487301.06
2019-12-02,1445059.08
2019-12-03,1415540.31
2019-12-04,1493836.52
2019-12-05,1525802.04
2019-12-06,1570994.85
2019-12-09,1573737.66
2019-12-10,1499770.07
2019-12-11,1513243.93
2019-12-12,1534845.93
2019-12-13,1585024.04
2019-12-16,1621251.17
2019-12-17,1593945.84
2019-12-18,1624541.03
2019-12-19,1641435.65
2019-12-23,1717925.81
2019-12-26,1819933.7
2019-12-30,1796571.66
2020-01-02,1773764.82
2020-01-03,1750113.33
2020-01-06,1790094.7
2020-01-07,1773103.07
2020-01-08,1770327.58
2020-01-09,1811973.59
2020-01-10,1842273.32
2020-01-13,1817836.96
2020-01-14,1806359.91
2020-01-15,1791644.54
2020-01-16,1837818.85
2020-01-17,1834012.72
2020-01-20,1864912.72
2020-01-21,1797283.99
2020-01-22,1816440.57
2020-01-23,1782460.8
2020-01-24,1734027.02
2020-01-27,1716531.27
2020-01-28,1768257.62
2020-01-29,1750194.31
2020-01-30,1753013.72
2020-01-31,1737155.68
2020-02-03,1794707.08
2020-02-04,1778311.23
2020-02-05,1769199.04
2020-02-06,1775085.27
2020-02-07,1781376.11
2020-02-10,1776618.73
2020-02-11,1724055.53
2020-02-12,1726179.79
2020-02-13,1671047.63
2020-02-14,1672242.52
