fecha,domec_cierre
2020-11-02,5.09
2020-11-03,5.09
2020-11-04,5.09
2020-11-09,5.18
2020-11-10,5.1
2020-11-11,5.1
2020-11-12,5.1
2020-11-13,5.1
2020-11-16,5.25
2020-11-18,5
2020-11-19,5.1
2020-11-20,5
2020-11-24,5.1
2020-11-27,5.1
2020-11-30,5.1
2020-12-01,5.2
2020-12-02,5.3
2020-12-03,5.2
2020-12-04,5.25
2020-12-09,5.1
2020-12-10,5.1
2020-12-11,5.1
2020-12-14,5.1
2020-12-15,5.1
2020-12-16,5.24
2020-12-18,5.5
2020-12-21,5.68
2020-12-22,5.7
2020-12-23,5.8
2020-12-28,5.9
2020-12-30,5.9
2021-01-04,5.9
2021-01-05,5.9
2021-01-06,5.85
2021-01-07,5.9
2021-01-08,5.6
2021-01-11,5.99
2021-01-12,5.75
2021-01-13,5.9
2021-01-14,5.85
2021-01-15,5.45
2021-01-18,5.9
2021-01-19,5.9
2021-01-20,6
2021-01-22,6
2021-01-25,5.95
2021-01-27,5.95
2021-01-28,5.47
2021-01-29,5.9
2021-02-01,5.9
2021-02-02,6.3
2021-02-03,6.3
2021-02-04,6.3
2021-02-05,6.5
2021-02-08,6.3
2021-02-09,6.3
2021-02-10,6.3
2021-02-11,7
2021-02-12,8
2021-02-17,8.5
2021-02-18,8.5
2021-02-19,8.5
2021-02-22,8.4
2021-02-23,8.3
2021-02-25,8
2021-02-26,7.7
2021-03-01,7
2021-03-02,7.6
2021-03-03,7
2021-03-04,6.75
2021-03-05,7
2021-03-08,7.25
2021-03-09,7.3
2021-03-12,7.25
2021-03-15,7.25
2021-03-16,7.25
2021-03-17,6.97
2021-03-18,7.5
2021-03-19,7.5
2021-03-22,7.01
2021-03-23,7.01
2021-03-25,6.95
2021-03-26,6.9
2021-03-29,7
2021-03-30,6.8
2021-04-05,6.85
2021-04-06,7.1
2021-04-07,7.2
2021-04-08,7.2
2021-04-09,
2021-04-12,6.8
2021-04-15,7.2
2021-04-19,7.45
2021-04-21,7.35
2021-04-22,7.2
2021-04-23,7.56
2021-04-26,8
2021-04-27,8.1
2021-04-28,8.1
2021-04-29,8.4
2021-04-30,8.5
2021-05-03,8.4
2021-05-04,8.4
2021-05-05,8.4
2021-05-07,8.4
2021-05-10,8.45
2021-05-11,8.45
2021-05-12,8.45
2021-05-13,8.39
2021-05-14,8.4
2021-05-17,8.4
2021-05-18,8.45
2021-05-19,8.45
2021-05-20,8.4
2021-05-21,8.55
2021-05-27,8.8
2021-05-28,8.8
2021-06-01,8.8
2021-06-02,8.8
2021-06-03,9.2
2021-06-04,9.4
2021-06-07,9.3
2021-06-08,9.3
2021-06-09,9.26
2021-06-10,9.3
2021-06-11,9.25
2021-06-14,9.25
2021-06-15,10
2021-06-16,10
2021-06-18,9.4
2021-06-22,9.4
2021-06-24,9.4
2021-06-25,9.4
2021-06-28,9.4
2021-06-29,9.4
2021-07-01,9.99
2021-07-02,10
2021-07-05,11
