fecha,merval_cierre
2018-12-31,30292.55
2019-01-01,30292.55
2019-01-02,31096.63
2019-01-03,31065.12
2019-01-04,32303.05
2019-01-07,33010.54
2019-01-08,32914.88
2019-01-09,33769.35
2019-01-10,34167.45
2019-01-11,33884.6
2019-01-14,33771.24
2019-01-15,33562.54
2019-01-16,34048.02
2019-01-17,34262.74
2019-01-18,35100.45
2019-01-21,35303.25
2019-01-22,34042.76
2019-01-23,34819.13
2019-01-24,34939.05
2019-01-25,34810.51
2019-01-28,34840.8
2019-01-29,35511.21
2019-01-30,36039.11
2019-01-31,36326.92
2019-02-01,36599.88
2019-02-04,37145
2019-02-05,37471.67
2019-02-06,36731.67
2019-02-07,35928.99
2019-02-08,36664.24
2019-02-11,37023.74
2019-02-12,37685.96
2019-02-13,37038.92
2019-02-14,37385.75
2019-02-15,37469.97
2019-02-18,37355.24
2019-02-19,36292.29
2019-02-20,36503.51
2019-02-21,35852.14
2019-02-22,36646.79
2019-02-25,36332.03
2019-02-26,36026.63
2019-02-27,35345.47
2019-02-28,34485.8
2019-03-01,33834.86
2019-03-04,33834.86
2019-03-05,33834.86
2019-03-06,32340.43
2019-03-07,33189.91
2019-03-08,33020.07
2019-03-11,33790.68
2019-03-12,33681.28
2019-03-13,34023.02
2019-03-14,33530.45
2019-03-15,33933.08
2019-03-18,34939.3
2019-03-19,34373.2
2019-03-20,34743.9
2019-03-21,34186.08
2019-03-22,32827.98
2019-03-25,33166.32
2019-03-26,32627.59
2019-03-27,32174.68
2019-03-28,32892.15
2019-03-29,33466.03
2019-04-01,33006.82
2019-04-02,33006.82
2019-04-03,31765.11
2019-04-04,32142.47
2019-04-05,32666.88
2019-04-08,33080.87
2019-04-09,31743.38
2019-04-10,32154.54
2019-04-11,31501.04
2019-04-12,31357.03
2019-04-15,31745.57
2019-04-16,32290.18
2019-04-17,32036.78
2019-04-18,32036.78
2019-04-19,32036.78
2019-04-22,30786.64
2019-04-23,30926.73
2019-04-24,29746.6
2019-04-25,29556.77
2019-04-26,30001.1
2019-04-29,28827.37
2019-04-30,29571.36
2019-05-01,29571.36
2019-05-02,30817.01
2019-05-03,32412.27
2019-05-06,32988.59
2019-05-07,32741.13
2019-05-08,33775.97
2019-05-09,34119.1
2019-05-10,33393.81
2019-05-13,32300.25
2019-05-14,32510.83
2019-05-15,33218.06
2019-05-16,33892.17
2019-05-17,33315.7
2019-05-20,33492.48
2019-05-21,34481.33
2019-05-22,34578.77
2019-05-23,34378.55
2019-05-24,35084.92
2019-05-27,35448.46
2019-05-28,34643.54
2019-05-29,33967.33
2019-05-30,34239.26
2019-05-31,33949.53
2019-06-03,33765.21
2019-06-04,34700.84
2019-06-05,35275.94
2019-06-06,35733.7
2019-06-07,35662.87
2019-06-10,36452.8
2019-06-11,38345
2019-06-12,40930.69
2019-06-13,40646.28
2019-06-14,40487.61
2019-06-17,40487.61
2019-06-18,40687.47
2019-06-19,39861.82
2019-06-20,39861.82
2019-06-21,40294.82
2019-06-24,40111.98
2019-06-25,40292.26
2019-06-26,39916.77
2019-06-27,41128.41
2019-06-28,41796.36
2019-07-01,41507.48
2019-07-02,41793.13
2019-07-03,41304.34
2019-07-04,41380.38
2019-07-05,41755.69
2019-07-08,41755.69
2019-07-09,41755.69
2019-07-10,42807.08
2019-07-11,42856.29
2019-07-12,42753.1
2019-07-15,41256.6
2019-07-16,41788.26
2019-07-17,41451.31
2019-07-18,40752.75
2019-07-19,40161.6
2019-07-22,38729.98
2019-07-23,39203.87
2019-07-24,39784.91
2019-07-25,39884.35
2019-07-26,41983.74
2019-07-29,42785.46
2019-07-30,42463.24
2019-07-31,42057.77
2019-08-01,41410.98
2019-08-02,41359.15
2019-08-05,40873.35
2019-08-06,41317.03
2019-08-07,40949.34
2019-08-08,41093.45
2019-08-09,44355.09
2019-08-12,27530.8
2019-08-13,30344.56
2019-08-14,29920.69
2019-08-15,31039.31
2019-08-16,30406.65
2019-08-19,30406.65
2019-08-20,27230.62
2019-08-21,27977.74
2019-08-22,27982.96
2019-08-23,26585.97
2019-08-26,25848.26
2019-08-27,24622.47
2019-08-28,25458.04
2019-08-29,23984.83
2019-08-30,24608.56
2019-09-02,26195.41
2019-09-03,23079.32
2019-09-04,24664.55
2019-09-05,26932.14
2019-09-06,27659.66
2019-09-09,27176.41
2019-09-10,28432.16
2019-09-11,28617.92
2019-09-12,29114.77
2019-09-13,30136.28
2019-09-16,30561.27
2019-09-17,30150.65
2019-09-18,30071.1
2019-09-19,30414.4
2019-09-20,30060.46
2019-09-23,29152.05
2019-09-24,27819.8
2019-09-25,28212.41
2019-09-26,28168.02
2019-09-27,28877.51
2019-09-30,29066.96
2019-10-01,30066.13
2019-10-02,30792.05
2019-10-03,30365.9
2019-10-04,31816.5
2019-10-07,30940.87
2019-10-08,30257.26
2019-10-09,30338.17
2019-10-10,31743.2
2019-10-11,31798.11
2019-10-15,31333.68
2019-10-16,30759.21
2019-10-17,31995.13
2019-10-18,31968.47
2019-10-21,32550.73
2019-10-22,33262.64
2019-10-23,32775.14
2019-10-24,33476.16
2019-10-25,34522.25
2019-10-28,33177.16
2019-10-29,32544.2
2019-10-30,33889.03
2019-10-31,34995.2
2019-11-01,35743.04
2019-11-04,37278.54
2019-11-05,36869.96
2019-11-06,35500.49
2019-11-07,35869.21
2019-11-08,34131.05
2019-11-11,33661.11
2019-11-12,33430.14
2019-11-13,32340.7
2019-11-14,31019.69
2019-11-15,31851.61
2019-11-19,32252.78
2019-11-20,33421.12
2019-11-21,33247.39
2019-11-22,33588.83
2019-11-25,33494.72
2019-11-26,32113.27
2019-11-27,33929.74
2019-11-28,34219.79
2019-11-29,34500.21
2019-12-02,33446.93
2019-12-03,32756.73
2019-12-04,34691.63
2019-12-05,35443.05
2019-12-06,36561.95
2019-12-09,36409.07
2019-12-10,34657.44
2019-12-11,35019.54
2019-12-12,35504.63
2019-12-13,36769.59
2019-12-16,37620.08
2019-12-17,36918.84
2019-12-18,37620.22
2019-12-19,38083.01
2019-12-23,39915.25
2019-12-26,42278.51
2019-12-30,41671.41
2020-01-02,41106.97
2020-01-03,40499.15
2020-01-06,41469.66
2020-01-07,41115.71
2020-01-08,41016.02
2020-01-09,42035.7
2020-01-10,42740.38
2020-01-13,42017.78
2020-01-14,41633.73
2020-01-15,41246.19
